score_ben,score_dad,winner,spread
21,13,Ben,8
21,13,Ben,8
21,18,Ben,3
21,14,Ben,7
25,23,Ben,2
21,9,Ben,12
21,11,Ben,10
21,18,Ben,3
21,15,Ben,6
16,21,Dad,-5
21,11,Ben,10
21,17,Ben,4
21,10,Ben,11
22,20,Ben,2
21,9,Ben,12
21,19,Ben,2
21,19,Ben,2
21,18,Ben,3
18,21,Dad,-3
21,18,Ben,3
21,13,Ben,8
21,19,Ben,2
21,17,Ben,4
21,14,Ben,7
21,12,Ben,9
21,17,Ben,4
21,13,Ben,8
22,20,Ben,2
21,17,Ben,4
21,10,Ben,11
21,10,Ben,11
23,25,Dad,-2
21,13,Ben,8
21,9,Ben,12
21,10,Ben,11
21,14,Ben,7
11,0,Ben,11
21,16,Ben,5
21,17,Ben,4
21,2,Ben,19
21,14,Ben,7
21,12,Ben,9
21,8,Ben,13
21,9,Ben,12
21,9,Ben,12
21,14,Ben,7
21,11,Ben,10
21,10,Ben,11
21,19,Ben,2
21,19,Ben,2
21,17,Ben,4
21,19,Ben,2
11,0,Ben,11
21,12,Ben,9
21,10,Ben,11
21,13,Ben,8
21,7,Ben,14
21,12,Ben,9
21,19,Ben,2
18,21,Dad,-3